PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,MLBAMID,FirstName,LastName,BatHand,ThrowHand,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,ProDebut,Salary,PhotoUrl,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,UpcomingGameID,FanDuelName,DraftKingsName,YahooName,FantasyDraftName
10000014,,Active,4,PIT,41,P,SP,543339,Daniel,Hudson,R,R,75,230,3/9/1987 12:00:00 AM,Lynchburg,VA,USA,,Old Dominion,,,http://static.fantasydata.com/headshots/mlb/low-res/10000014.png,3d6aef45-a71b-43dc-87ed-85483cd241a3,5911,10645,100256,454564,43861,6949,,,,,6295,454564,8567,47602,Daniel Hudson,Daniel Hudson,Daniel Hudson,Daniel Hudson
10000016,,40 Man Active,13,SEA,,P,RP,605359,Evan,Marshall,R,R,74,225,4/18/1990 12:00:00 AM,Sunnyvale,CA,USA,,Kansas State,,,http://static.fantasydata.com/headshots/mlb/low-res/10000016.png,3f8532e7-dc3a-49f9-815d-c64c4b40d8f8,,12254,100266,597833,113328,9665,,,,,17002,597833,9697,47597,Evan Marshall,Evan Marshall,Evan Marshall,
10000018,,Active,19,BAL,52,P,SP,573064,Vidal,Nuno,L,L,71,210,7/26/1987 12:00:00 AM,National City,CA,USA,,Baker University,,,http://static.fantasydata.com/headshots/mlb/low-res/10000018.png,811dd9ee-65cc-454a-8977-9e043b49bc9d,7435,12837,100558,502887,106057,10496,,,,,38141,502887,9381,47596,Vidal Nuno,Vidal Nuño,Vidal NuÃ±o,Vidal Nuño
10000019,,Active,35,WSH,46,P,RP,424144,Oliver,Perez,L,L,75,224,8/15/1981 12:00:00 AM,Culiacan,,Mexico,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000019.png,1b5eecd0-90af-451f-a04a-b36b20f0363f,3484,7063,100127,167996,41327,3023,,,,,5683,167996,6945,47606,Oliver Perez,Óliver Pérez,Ã“liver PÃ©rez,Óliver Pérez
10000020,,Active,14,ARI,38,P,SP,592662,Robbie,Ray,L,L,74,195,10/1/1991 12:00:00 AM,Brentwood,TN,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000020.png,9deda06b-1928-4c58-acf0-717538f576f4,7668,11599,100692,549085,113065,8469,,,,,53029,549085,9691,47603,Robbie Ray,Robbie Ray,Robbie Ray,Robbie Ray
10000021,,Active,18,NYM,43,P,RP,592665,Addison,Reed,L,R,76,230,12/27/1988 12:00:00 AM,Montclair,CA,USA,,San Diego State,,,http://static.fantasydata.com/headshots/mlb/low-res/10000021.png,927c57ff-46e8-4c4c-a6b9-1b2ee47d11fb,6694,11502,100646,548229,109760,8398,,,,,14039,548229,9053,47601,Addison Reed,Addison Reed,Addison Reed,Addison Reed
10000022,,Minors,15,SF,54,P,RP,519186,Matt,Reynolds,L,L,77,240,10/2/1984 12:00:00 AM,Saint Charles,IL,USA,,Austin Peay,,,http://static.fantasydata.com/headshots/mlb/low-res/10000022.png,a0ab9ee0-ece2-4733-ba4f-0d97cab3fbad,,11762,100702,389296,105571,8377,,,,,12504,389296,8788,47608,Matt Reynolds,Matt Reynolds,Matt Reynolds,Matt Reynolds
10000023,,40 Man Active,4,PIT,,P,RP,519263,A.J.,Schugel,R,R,72,200,6/27/1989 12:00:00 AM,Winter Haven,FL,USA,,,,,http://static.fantasydata.com/headshots/mlb/low-res/10000023.png,8bc7b56e-d983-47be-acba-8c68248967d5,,12445,101360,546773,109873,2213,,,,,17133,546773,9927,47602,AJ Schugel,A.J. Schugel,A.J. Schugel,A.J. Schugel
10000026,,Active,22,MIA,29,P,RP,446899,Brad,Ziegler,R,R,76,220,10/10/1979 12:00:00 AM,Pratt,KS,USA,,Missouri State,,,http://static.fantasydata.com/headshots/mlb/low-res/10000026.png,52b785c2-1b9f-439a-a4e0-1e4f1a273507,384,10442,100349,226134,43495,6691,,,,,5722,226134,8262,47601,Brad Ziegler,Brad Ziegler,Brad Ziegler,Brad Ziegler
10000027,,40 Man Active,13,SEA,,IF,C,488912,Tuffy,Gosewisch,R,R,71,200,8/17/1983 12:00:00 AM,Freeport,IL,USA,,Arizona State,,,http://static.fantasydata.com/headshots/mlb/low-res/10000027.png,cc578102-d0ef-4368-81b4-52ca49b7e580,7221,12651,100878,294516,106081,9295,,,,,13425,294516,9479,47597,Tuffy Gosewisch,Tuffy Gosewisch,Tuffy Gosewisch,Tuffy Gosewisch
